title,author,text,sum,sum_marysha
Pět Tibeťanů,Peter Kelder,"Staré tajemství himálajských údolí působí zázraky. Tato kniha je nedocenitelným zdrojem informací: pěti prastarých tibetských ritů, které jsou klíčem k udržení mládí, zdraví a vitality. Popisované rity využívají univerzální energii k tomu, aby přivedly tělo opět do rovnováhy. Tato činnost má blahodárné účinky tím, že blokuje „hormon smrti“ a normalizuje tvorbu hormonů žláz s vnitřní sekrecí. Když je toho dosaženo, mohou se buňky v těle opět obnovovat a prospívat, jak to činily, když jsme byli mladí. Můžeme pak vidět a cítit, jak „mládneme“.","Kniha odhaluje pět prastarých tibetských ritů, které využívají univerzální energii k udržení mládí, zdraví a vitality tím, že obnovují rovnováhu v těle a blokují negativní hormonální vlivy.","Knížka povídá o starých tibetských ritech, co dělajó zázraky a pomáhajó nám zůstat mladí a zdraví, protože vyrovnávajó tělo a blokujó „hormon smrti“."
Láska v podsvětí,Meg Cabot,"Druhá část dramatického příběhu o lásce více než nesourodé dvojice.Sedmnáctiletá Pierce zatím stále ještě nezemřela. John Hayden, pán podsvětí, ji unesl do přízračného, temného světa mezi nebem a peklem, kde se zdržují duše zemřelých před tím, než se vydají na poslední cestu. John dívce tvrdí, že ji vězní v zájmu její vlastní bezpečnosti, aby ji ochránil před fúriemi, které baží po pomstě. Pierce ho však podezřívá, že pro to má ještě vlastní, ne tak zcela zřejmé důvody.Dívka brzy zjistí, že ona sama je na tomto místě sice chráněna před hněvem fúrií, ale její milovaní, které zanechala v lidském světě, nikoli. Dokáže Johna přesvědčit, aby ji propustil a ona mohla zachránit život blízkého člověka? Nebo bude cena, již po ní bude požadovat výměnou za svobodu, příliš vysoká?","Druhá část příběhu sleduje sedmnáctiletou Pierce, která je unesena Johnem Haydenem do temného světa mezi nebem a peklem, kde se snaží zjistit pravé důvody jeho činů a zároveň se pokouší zachránit své blízké před hrozbou fúrií, přičemž čelí otázce, jakou cenu bude muset zaplatit za svou svobodu.","Druhá část příběhu je o tom, jak sedmnáctiletá Pierce, co ji unesl John Hayden do temného světa, se snaží zjistit, jestli ji fakt chrání, nebo má nějaký vlastní úmysly, a jestli dokáže přesvědčit Johna, aby ji pustil zpátky, aby zachránila svý blízký."
Hranice,Cormac McCarthy,"Děj Hranice se odehrává na jihu Spojených států a v Mexiku před druhou světovou válkou. Hlavním tématem je překročení pomyslného prahu dospělosti dvou dospívajících bratrů v sepětí s přírodou, jejími odvěkými rytmy, na pozadí boje dobra a zla. Příběh má silný filosofický náboj, ale dá se číst i jako western – jako příběh synů, kteří se rozhodli pomstít své zavražděné rodiče. Kniha volně navazuje na román Všichni krásní koně a je tak druhou částí tzv. Hraniční trilogie.","Kniha Hranice, situovaná na jihu USA a v Mexiku před druhou světovou válkou, sleduje dospívání dvou bratrů v kontextu přírody a boje dobra se zlem, přičemž kombinuje filosofické prvky s westernovým příběhem o pomstě za zavražděné rodiče a navazuje na román Všichni krásní koně jako druhá část Hraniční trilogie.","Hranice je o dvou bratrech, co se na jihu Amériky a v Mexiku snažijó dospět, pomstít rodiče a žít v souladu s přírodó, všecko to na pozadí boje dobra a zla."
Město schodů,Robert Jackson Bennett,"Atmosférický fantasy román o živých špionech, mrtvých bozích, pohřbené historii a tajemném, stále se měnícím městě.Město Bulikov se před mnoha lety těšilo přízni Božstev a podmanilo si celý svět. Ale poté, co byli jeho ochránci za podivných okolností zavražděni, se z dobyvatele stal dobývaný; pyšná historie Bulikova byla vymazána a zcenzurována, pokrok se zastavil a z někdejší prosperující metropole se stala jen další koloniální výspa nové světové geopolitické mocnosti.Do tohoto zatuchlého, zpátečnického města přichází Shara Thivaniová. Oficiálně je tato tichá a nenápadná žena jen další obyčejnou diplomatkou, která do Bulikova přijela hájit zájmy utlačovatelů. Neoficiálně je Shara jednou z nejlepších agentek ve své zemi a jejím úkolem je vyšetřit brutální vraždu zdánlivě neškodného historika. Jak se Shara noří do tajemství neustále se fyzicky i politicky měnícího města, začíná tušit, že bytosti, které kdysi Bulikov ochraňovaly, nemusejí být tak mrtvé, jak se zdá.-----Oslňující, důmyslný a veskrze moderní příběh… Představte si Chinu Miévilla a George R. R. Martina zaseknuté ve výtahu jen s notebookem a jste skoro tam.","V atmosférickém fantasy románu se agentka Shara Thivaniová snaží odhalit tajemství brutální vraždy historika v městě Bulikov, které kdysi prosperovalo pod ochranou bohů, ale nyní je pod nadvládou nových mocností a skrývá temnou minulost.","V téhle knížce se točí kolem tajemnýho města Bulikov, kde se špiónka Shara snaží vyřešit vraždu historika a zjistit, že mrtvý bohové možná nejsou tak mrtvý, jak se zdá."
Bivoj,Juraj Červenák,"Řeka Vltava odděluje území kmene Čechů od Návu, knížectví duchů na zapovězeném východním břehu. Pouze jednou za rok je vladykům a stařešinům dovoleno překročit její tok a vystoupit na posvátný Chrasten, aby tam ve svatyni Vyšehrad obětovali bohům a žádali kněžnu Libuši o hadačské předpovědi a rozsudky ve vzájemných sporech. Letos však výroční slavnosti předcházejí zlá znamení. Libušina sestra Kazi byla cestou ze svého hradiště napadena děsivým démonem s kančí podobou. Vědmu v poslední chvíli zachránil Bivoj, syn Sudivojův, lovec z rodu Strošovců. Kdo běsa vyvolal? Proč se někdo pokouší zasít mezi české lechy svár? A jak to souvisí s varováním ducha Libušina otce, váženého knížete Kroka, který se zjevil svým dcerám a přinesl zvěst o hrozbě, přicházející z tajemných končin až někde za hvozdy mrtvých?Kompletní vydání všech dobrodružství slovanského reka. Obsahuje novelu ""Vládce stříbrného šípu"" a romány ""Bivoj běsobijce"" a ""Bivoj válečník"".","Kniha sleduje dobrodružství slovanského hrdiny Bivoje, který se snaží ochránit kmen Čechů před démonickými hrozbami a vnitřními spory, zatímco se odehrává na pozadí posvátných tradic a prorockých vzkazů od duchů.","V knížce se vypráví, jak řeka Vltava dělí Čechy od Návu, a jak se letos na slavnosti objevujó zlá znamení, když Kazi napadne démon a Bivoj ji zachrání, zatímco se řeší spory a varování od ducha knížete Kroka."
Záhada hlavolamu,Jaroslav Foglar,"Hlavní roli v knize hraje chlapecký klub Rychlé šípy, již dříve čtenářům známý z komiksů. Foglar v knize poprvé představuje záhadnou čtvrť Stínadla a organizaci Vontů, hlavolam zvaný „ježek v kleci“ a ztraceného vynálezce Jana Tleskače, motivy později využité v dalších knihách, které se následně staly téměř kultovní součástí české kultury. -- by GiroOsmé vydání. V roce 2005 dotisk.","Kniha sleduje dobrodružství chlapeckého klubu Rychlé šípy, který se v záhadné čtvrti Stínadla setkává s organizací Vontů a snaží se vyřešit tajemství ztraceného vynálezce Jana Tleskače a hlavolamu „ježek v kleci“, čímž zakládá kultovní prvky české kultury.","V knížce se vypráví o chlapeckým klubu Rychlé šípy, co se potkávajó s tajemnýma Vontama a hlavolamem „ježek v kleci“ ve Stínadlech, a hledajó ztracenýho vynálezce Jana Tleskače."
Holly,Stephen King,"Holly Gibneyová, jedna z nejpodmanivějších a nejvynalézavějších postav Stephena Kinga, se vrací v tomto napínavém románu, aby vyřešila hrůznou pravdu o několikanásobném zmizení v městečku na Středozápadě.Holly Stephena Kinga představuje triumfální návrat oblíbené postavy Holly Gibneyové. Čtenáři byli svědky Hollyina postupného přerodu z plaché (ale také statečné) samotářky v románu Pan Mercedes přes partnerku Billa Hodgese v knize Právo nálezce až po plnohodnotnou, chytrou a občas drsnou soukromou detektivku v knize Outsider. V novém Kingově románu je Holly odkázána sama na sebe a stojí proti dvojici nepředstavitelně zvrácených a skvěle maskovaných protivníků.Když Penny Dahlová zavolá do detektivní agentury Finders Keepers a doufá, že jí pomůžou najít její ztracenou dceru, Holly se zdráhá případ přijmout. Její partner Pete má covid. Její velmi komplikovaná matka právě zemřela. A Holly má být na dovolené. Ale něco v zoufalém hlase Penny Dahlové způsobí, že Holly nemůže odmítnout.Jen pár bloků od místa, kde zmizela Bonnie Dahlová, žijí profesoři Rodney a Emily Harrisovi. Jsou to manželé osmdesátníci, oddaní jeden druhému a celoživotní akademici v částečném důchodu. Ve sklepě svého dobře udržovaného, knihami obloženého domu, však ukrývají hrozivé tajemství, které možná souvisí s Bonniiným zmizením. A ukáže se, že je téměř nemožné odhalit, co mají za lubem: jsou bystří, trpěliví a bezohlední.Holly musí zapojit všechny své ohromné schopnosti, aby v tomto novém mrazivém mistrovském díle Stephena Kinga přechytračila a přelstila zvrácené profesory.","V novém románu Stephena Kinga se Holly Gibneyová, nyní soukromá detektivka, snaží vyřešit záhadné zmizení dívky, přičemž se postaví proti nebezpečným a inteligentním protivníkům, kteří skrývají temné tajemství.","Holly Gibneyová se v novým románu od Kinga vrací, aby vyřešila hrůzostrašný případ zmizení dcery a narazí na zvrácený pár starých profesorů, co skrývají hrozivé tajemství."
Nikdy o tom nemluv,Kathy O’Beirne,"Příběh dětství zničeného krutostí a strachem, sepsaný na základě skutečných událostí.Kathy O’Beirneová líčí v této knize svůj tragický životní příběh, poznamenaný již v raném dětství surovým otcem, který ji stejně jako její sourozence tloukl a týral, a místními chlapci, kteří ji sexuálně zneužívali. Malá Kathy, které se v silně katolickém Irsku nedostalo od jejího okolí žádné pomoci, byla v osmi letech odtržena od rodiny a uzavřena postupně v celé řadě církví řízených institucí. Později ji poslali na psychiatrii, kde prošla děsivou elektrošokovou terapií a byla vystavována krutostem ze strany lidí, kteří o ni měli pečovat.Tím ale její noční můra ještě ani zdaleka nekončila…","Kathy O’Beirneová ve své autobiografii popisuje hrůzné dětství plné týrání, zneužívání a bezmoci, které prožila v katolickém Irsku, kde byla od rodiny odtržena a vystavena dalšímu utrpení v církevních institucích a psychiatrických léčebnách.","Kathy O’Beirneová ve svý knížce vypráví, jak jí dětství zničil surovej táta a zlí kluci, a jak pak skončila v církevních institucích a psychiatrii, kde si prožila peklo."
Ocelový polibek,Jeffery Deaver,"Vražednou zbraní se může stát cokoli. Když to umíte náležitě použít.Amélie Sachsová pronásleduje muže podezřelého z vraždy. Jde mu v patách až do nákupního centra, a zatímco podezřelý v klidu popíjí kávu, Sachsová přivolá posily a přemýšlí, jak ho zatknout, aniž by vyvolala rozruch. Její snaha ale přijde vniveč: centrem se vzápětí rozlehne zoufalý křik, protože kohosi rozdrtil porouchaný eskalátor, a v nastalém zmatku podezřelý uprchne.Zpočátku to vypadalo jako nešťastná shoda okolností s tragickým následkem. Brzy se ale začnou vynořovat skutečnosti, které smrt z eskalátoru staví do zcela jiného světa. Ne, nebyla to náhoda, ale první ze série vražedných útoků. Zdá se, že vyšetřovatelé mají co do činění s nadmíru inteligentním zabijákem, který za svou vražednou zbraň zvolil předměty každodenní potřeby.Je zcela zjevné, že pachatel plní jakousi záhadnou misi. Co chce světu krvavě sdělit? Kolik lidí ještě bude muset zemřít, než Amélie Sachsová a Lincoln Rhyme odhalí jeho úmysly a identitu?","Amélie Sachsová a Lincoln Rhyme se snaží odhalit identitu inteligentního zabijáka, který používá běžné předměty jako vražedné zbraně, a zastavit jeho sérii smrtelných útoků, které na první pohled vypadají jako tragické nehody.","Amélie Sachsová honí podezřelýho vraha, co se schovává v nákupáku, ale když se tam stane tragédie s eskalátorem, zjistí, že to je jen začátek série vražednejch útoků, a teď musí s Lincolnem Rhyme zjistit, co ten chytrej zabiják vlastně chce."
České pohádky,Jan Drda,"Osobité a humorné variace na známé motivy lidových pohádek. Pro děti do 10 let.Pohádky s typickým drdovským humorem a láskou k prostým lidem zná už několik generací. Některé pohádky jsou známé i z filmového zpracování - Dařbuján a Pandrhola, O princezně Jasněnce a ševci, který létal.","Kniha obsahuje osobité a humorné variace na lidové pohádky, které oslovují děti do 10 let a přinášejí typický drdovský humor a lásku k prostým lidem, přičemž některé příběhy jsou známé i z filmových adaptací.","To sú pohádky pro děcka do deseti let, co majó drdovský humor a sou plné lásky k obyčejným lidem, a něktóré z nich známe aj z filmů, jak Dařbuján a Pandrhola nebo O princezně Jasněnce a ševci, co lítal."
Anastázie,Colin Falconer,"Tento román vypráví o poslední ruské velkokněžně Anastázii. Píše se rok 1918 a v Rusku zuří krvavá občanská válka. Bolševici se chopili moci a odvezli celou carskou rodinu na Sibiř. Na rozkaz sovětské moci jejich životy ukončily výstřely a bajonety ve sklepení domu v Jekaterinburgu. O několik let později se americký novinář Michael Sheridan setkává v Šanghaji se zvláštní prostitutkou, která se jmenuje Anastázie, je z Ruska a má všechny dědičné fyzické znaky Romanovců.","Román sleduje osudy poslední ruské velkokněžny Anastázie, která přežila masakr carské rodiny a setkává se s americkým novinářem v Šanghaji, kde se snaží odhalit pravdu o své identitě.","Tento román je o poslední ruské velkokněžně Anastázii, co se v roce 1918 ztratila v krvavý válce a pak se s ní setká americký novinář v Šanghaji, když je z ní zvláštní prostitutka."
Káťa a Škubánek,Josef Lamka,"Sedm veselých příběhů z oblíbených večerníčků Káťa a Škubánek.Nejdříve se vyklube Škubánek z čokoládového vajíčka a pak společně s Káťou poletí do Afriky, pojedou na hory, budou si hrát na čmuchanou a oslaví narozeniny.","Kniha obsahuje sedm veselých příběhů o Kátě a Škubánkovi, kteří zažívají různá dobrodružství, včetně cesty do Afriky, her na horách a oslav narozenin.","V knížce je sedm veselé příběhů, jak Káťa a Škubánek lítajó do Afriky, jedó na hory, hrajó si na čmuchanou a slavijó narozeniny."
Dáma v ohrožení,Stephanie Laurens,"Miranda žije s bratrem a dvěma postaršími tetami, které z ní vychovaly dokonalou dámu, jež se na hony vyhýbá skandálům. Jenže v jejím nitru dřímá ohnivá a nezávislá povaha. Miranda se snaží zjistit, kdo vlastně je a co je pro ni důležité… když bratr náhle zmizí. Obává se nejhoršího a pomoc hledá u pochybného souseda, krále hazardních her Nevillea Roscoea. Lord Julian Delbraith se vzdal svého postavení, aby zachránil rodinu. Stal se Nevillem Roscoem, tajemným mužem, jehož pověst není zrovna valná. Navenek působí nepřístupně a nikoho si nepustí k tělu… dokud ho žena, žijící v sousedství, nepožádá o pomoc. V tu chvíli se v něm probudí čest a Mirandu nemůže odmítnout. Při společném úsilí najít jejího bratra si záhy uvědomí, že tahle dívka je jediná, která mu může pomoct vrátit se zpátky ke svému životu lorda Juliana. Miranda s Nevillem se ocitnou v ohrožení, zapletou se do intrik, hrozí jim nebezpečí… ale přes všechny útrapy si nemohou nevšimnout, že mezi nimi vzplanula láska!","Miranda, vychovávaná jako dokonalá dáma, se po zmizení svého bratra spojí s tajemným a pochybným sousedem Nevillem Roscoem, což je ve skutečnosti lord Julian Delbraith, a společně se snaží odhalit pravdu, přičemž mezi nimi vzniká láska navzdory nebezpečným intrikám.","Miranda, co je vychovaná jako dokonalá dáma, se snaží najít svýho zmizelýho bratra a při tom se zaplete s tajemným Nevillem, co jí pomůže a mezi nima se zjeví láska, i když kolem hrozí nebezpečí a intriky."
Italské léto,Jennifer Probst,"Nový román bestsellerové Jennifer Probstové o třech generacích žen a jedinečné pouti Itálií. Workoholička Francesca je úspěšná ve všech oblastech svého života krom jedné: rodiny. Nedokáže si vyhradit čas na svou dceru Allegru, se kterou se prakticky odcizily. Když se Allegra zaplete s novou partou a zatknout ji za držení drog, Franceska vyhoví přání své matky Sophie a všechny tři se tak vypraví na velkolepou pouť do Itálie po stopách rodinných předků. Sophia ví, že její děvčata mají problémy a zoufale potřebují změnu, pro žádnou z nich to však nebude snadná cesta. Pomohou jim ruiny starověkého Říma, kostelíky v Assisi a zvlněné kopci Toskánska uvědomit si důležitost rodinných pout, než bude pozdě?","Nový román Jennifer Probstové sleduje tři generace žen, které se na cestě do Itálie snaží obnovit rodinné vztahy a překonat osobní krize, přičemž se potýkají s výzvami moderního života a hledají smysl v rodinných poutech.","To je román o třech ženských generacích, co se snažijó najít cestu k sobě a napravit rodinný vztahy na velký pouti do Itálie."
Ďáblova čísla,Vlastimil Vondruška,"Během úřední cesty Jiřího Adama z Dobronína dojde ve Dvoře Králové k několika vraždám. Protože jednou z obětí je příslušník rodu Valdštejnů, který vede spory s majitelem vrchlabského panství, musí se tím královský písař zabývat. Jenže záhy se ukáže, že všechny ty mordy vypadají jako ďáblovo dílo, neboť jsou označené číslem šelmy 666. Situace je o to složitější, že se radnice snaží téhle okolnosti využít a strhnout na sebe moc ve městě. Zavádí restrikce a nutí měšťany, aby zvýšenou zbožností bojovali proti zlu. Některé z těch, kteří nevěří v působení ďábla, obviní z účasti na satanově díle a chystá okázalé popravy. Jde o závod s časem, kdy již nejde ani tak o spravedlnost, jako o boj s fanatismem a lidskou hloupostí.","Královský písař Jiří Adam z Dobronína se během úřední cesty do Dvora Králové zaplétá do vyšetřování sériových vražd, které jsou spojeny s mystickým číslem 666 a vyvolávají fanatismus a mocenské spory mezi městskou radnicí a obyvateli.","Na úřední cestě Jiřího Adama z Dobronína se ve Dvoře Králové stane pár vražd, co vypadaj jako ďáblovo dílo s číslem 666, a radnice to chce využít k moci, což vyvolá boj s fanatismem a hloupostí."
Dům na Riviéře,Natasha Lester,"Paříž, 1939: Nacisté si myslí, že Éliane nerozumí německy. Domnívají se, že pro ně pouze katalogizuje umělecká díla a netuší, že kradou národní poklady do svých soukromých sbírek. Jenže to se mýlí. Dívka pečlivě dešifruje jejich poznámky a předává informace odboji.Éliane však rozehrála nebezpečnou hru. Odváží se svěřit svá tajemství muži, kterého kdysi milovala? Nezradí ji znovu? Nemá šanci to s jistotou zjistit… dokud ji večírek v úchvatné vile na Francouzské Riviéře nevystaví zcela nové úrovni nebezpečí. Současnost: Remy Langová chce zapomenout na tragédii, kvůli níž se její život ocitl v troskách, a proto se vydává do domu na Riviéře, který za záhadných okolností zdědila. Během třídění knih objevuje evidenci uměleckých děl ukradených během druhé světové války. V šoku zjišťuje, že její součástí je i obraz, který už od dětství visí na stěně jejího pokoje. Kdo vlastně byli její předci? Neskrývá dům na Riviéře větší tajemství, než jakému je Remy schopná čelit?","Kniha sleduje příběh Éliane, která během druhé světové války tajně informuje odboj o nacistických krádežích uměleckých děl, a současnou Remy, jež objevuje rodinná tajemství spojená s těmito krádežemi, když se snaží vyrovnat s tragédií ve svém životě.","V Paříži v roce 1939 se dívka Éliane tajně snaží pomoct odboji, zatímco v současnosti Remy Langová objevuje šokující tajemství svých předků v domě na Riviéře."
Ostrov,Sigríður Hagalín Björnsdóttir,"Výjimečně se stane něco, co stmelí celé lidstvo, propojí osudy všech, jako by sebou zemská přitažlivost trhla a svět se na okamžik zmenšil, přiblížil, a každý jednotlivý člověk si pak pamatuje, kde byl, když se to událo nebo když se o tom dozvěděl. A někdy se svět zmenší natolik, že je z něj jenom jeden člověk. Jedna drobná lidská bytost v opuštěném zálivu. Vyčkává a sepisuje kroniku nedávných událostí, na něž nelze zapomenout.Román Ostrov v sobě spojuje milostný příběh a mrazivou dystopii, v níž islandské dějiny postihne nečekaný obrat. Klade otázku, co lidi spojuje a co je rozděluje.","Román ""Ostrov"" zkoumá spojení a rozdělení lidských osudů v kontextu nečekaného obratu v islandských dějinách, kdy jedna osamělá bytost v opuštěném zálivu sepisuje kroniku nezapomenutelných událostí.","V knížce Ostrov se točí kolem toho, jak se lidé spojí v těžkých chvílích a co je naopak rozděluje, přičemž se tam mísí milostný příběh s mrazivou dystopií, když se islandské dějiny zvrtnou."
Hledání dokonalé lásky,Jennifer Probst,"Druhý díl volné série „Hledání“ od bestsellerové autorky Jennifer Probstové. Kennedy Asheová je spolumajitelkou seznamovací agentury Kinnections a ve své práci je opravdu dobrá. Umí zorganizovat jakoukoliv společenskou akci a i z nejupjatějšího chlapíka dokáže vykouzlit sebevědomého muže. Nate Ellison Raymond Dunkle, vědec, „nerd“ a Kennedyin nejnovější klient, by však mohl být oříšek. Zatímco se z Natea snaží – obrazně řečeno – strhnout bílý plášť a pomoct mu vypořádat se s katastrofální minulostí plnou rozchodů, nemůže nemyslet na vlastní skrývané pochyby, bolest a nejistotu. Možná si jsou s Natem vlastně docela blízcí…","V druhém díle série „Hledání“ se spolumajitelka seznamovací agentury Kennedy Asheová snaží pomoci svému klientovi Nateovi, vědci s traumatickou minulostí, zatímco se sama vyrovnává se svými vlastními nejistotami a emocemi.","Kennedy, co dělá v seznamovací agentuře, se snaží pomoct nerdovi Nateovi zbavit se svýho bílýho pláště a vyřešit jeho rozchody, ale přitom se sama potýká s pochybnostma a bolestí."
Desetkrát a dost,Scarlett Wilková,"Scarlett Wilková, jak ji neznáte. Současný román plný řeckého slunce. Seznamka po padesátce je jako spící sopka – všichni jsou zdánlivě zkušení, klidní a vyrovnaní, ale pod povrchem to vře. Svoje štěstí tam zkouší i novinářka Markéta, pečovatelka Briana a majitelka seznamky Tamara. Všechny se poznají se sympatickým mužem, který ale vždycky po desáté schůzce zmizí. Při pátrání po jeho identitě se ženy seznámí a zjistí, že sdílejí celou řadu zájmů, třeba lásku k cestování. V malebném řeckém městečku Parga na ně pak čeká zajímavé překvapení...","Román ""Scarlett Wilková, jak ji neznáte"" sleduje příběh tří žen po padesátce, které se setkávají na seznamce a společně pátrají po tajemném muži, který po desáté schůzce vždy zmizí, přičemž objevují nejen nová přátelství, ale i lásku k cestování v malebném řeckém městečku Parga.","V knížce se vypráví o třech ženských, co po padesátce hledajó lásku a v Řecku na to narazijó, ale chlap, co se jim líbí, po desátý schůzce vždycky zmizí, tak se daj dohromady a zjistí, že majó spoustu společnýho."
O duševním klidu (8 úvah),Lucius Annaeus Seneca,"Z latinských originálů dle vydání uvedených v poznámkách přeložil, předmluvou a poznámkami opatřil Václav Bahník.Jedna z nejznámějších a ve své době nejčtenějších útěšných úvah (konsolace) se v duchu stoické filozofie zamýšlí nad duševní vyrovnaností moudrého člověka. Dílo hluboce etické je napsáno velice srozumitelně a řadí se tak k Senecově filozofii praktického života. Téma doplňuje v tomto vydání ještě sedm drobnějších úvah. Na závěr je připojen soubor sedmi epigramů (v češtině vycházejí poprvé) a dále satira, která zesměšňuje zbožštění císaře Claudia. Dílo je opatřeno bohatým poznámkovým aparátem a zasvěcenou předmluvou.Obsahuje:O hněvu -- O blaženém životě -- O krátkosti života -- O prozřetelnosti -- O stálosti mudrce -- O duševním  klidu -- O volném čase -- O laskavosti -- Epigramy --  Apokolokyntóza","Kniha obsahuje stoické úvahy Seneky o duševní vyrovnanosti a etice, doplněné o epigramy a satiru, přičemž je opatřena předmluvou a poznámkami od Václava Bahníka.","Tato kniha, co ji přeložil Václav Bahník, se zamýšlí nad duševním klidem a moudrostí podle stoické filozofie a obsahuje i pár drobnějších úvah a epigramů, co se poprvé v češtině objevijó."
Prostor pro duši,Vlastina Svátková,"Kdysi dávno, hodně dávno, kdy jsem ještě o životě netušila skoro nic a identifikovala jsem jenom stavy hluboké deprese a euforie, mě správným směrem nastartovala jedna útlá kniha. Otevřela mi oči, abych se mohla vydat na cestu. Autorka věřila na zázraky a já tehdy potřebovala šíleně moc věřit na zázraky! Dnes na zázraky ani náhody nevěřím. Jsem sarkastická a ironická, a v mé knize najdete i pár sprostých slov. Ale smysl mé knihy je stejný, jako té, která mi před lety zachránila život. Má pomoct těm, kteří to potřebují a hlavně chtějí.  Má dát naději tam, kde už žádná není. Tato kniha je pro ženy, které opakují stejné chyby, hledají lásku a pochopení. Je pro dívky a dcery, které si připadají divné, ošklivé a nepochopené. Je pro rodiče, kteří nadevše milují své děti. Je pro muže, kteří chtějí pochopit své ženy. Je pro všechny. Protože je o životě. A život je prostor pro duši. Chvíli jsme nahoře, chvíli dole na dně. Všichni toužíme nalézt rovnováhu tam někde uprostřed. Mezi dnem a hladinou. Mezi smutkem a štěstím.","Kniha je osobním vyprávěním autorky, která se snaží pomoci lidem najít naději a rovnováhu v životě, a to i přes své sarkastické a ironické pohledy na svět, přičemž se zaměřuje na ženy, dívky, rodiče a muže, kteří hledají lásku, pochopení a smysl.","Knížka je o tom, jak se najít v životě, když člověk prochází depresema a euforiema, a má pomoct všem, co hledajó lásku a pochopení, ať už jsou to ženy, dívky, rodiče, nebo muži."
Šalina do stanice touha,Iva Hadj Moussa,"Říká se, že naše sny a tužby jsou motorem pokroku a činí lidský život neobyčejným. Je pouze otázkou, zda to platí i v případě, kdy toužíme po tom, co patří někomu jinému. A jsme-li ochotni jít si pro to i přes mrtvoly. Redaktorce lifestylového magazínu Sandře a nezaměstnatelnému fluktuantovi Mirkovi však ke štěstí stále něco chybí: peníze. A v případě Sandry také popularita na sociálních médiích. Přitom si na rozdíl od ostatních právě tohle zaslouží. Zatímco Mirek se zmítá ve spirále dluhů a jeho podnikatelské záměry troskotají, Sandra se seznámí se slavným, byť poněkud neduživým skladatelem Johannesem. A v hlavě se jí zrodí jednoduchý nápad, který má její a Mirkův život obrátit vzhůru nohama. A taky obrátí.","Kniha sleduje osudy redaktorky Sandry a nezaměstnaného Mirkov, kteří se snaží dosáhnout štěstí a úspěchu za každou cenu, což je přivede k riskantnímu plánu, který zásadně změní jejich životy.","V knížce se vypráví o Sandře a Mirkovi, co toužijó po penězích a popularitě, a jak se jim život změní, když se Sandra seznámí se slavným skladatelem, co jí dá nápad na změnu."
Mladí lvi,Irwin Shaw,"Mladí lvi jsou bezesporu jedním z nejzdařilejších románů o druhé světové válce. V tomto po všech stránkách realistickém díle je absurdita války ukázána z rozdílných pohledů tří mladých mužů, které doba vtáhla do válečných událostí.Se zkušenostmi vynikajícího vypravěče líčí Shaw osudy čestného a idealisticky zásadového příslušníka americké židovské menšiny a jeho přítele liberálního intelektuála v uniformě.Spletité osudy obou Američanů se naplňují v střetnutí se zfanatizovaným příslušníkem hitlerovské armády. Dílo nepodává jen strhující svědectví o zápolení dvou armád na válčišti západní Evropy a severní Afriky, ale pokouší se dopátrat politických i lidských pohnutek, jež vedly jeho hrdiny k vyznávání fašismu.","Román ""Mladí lvi"" zobrazuje absurdity druhé světové války prostřednictvím osudů tří mladých mužů, včetně čestného židovského Američana a jeho liberálního přítele, kteří se střetávají s fanatickým příslušníkem hitlerovské armády, a zkoumá politické a lidské motivace vedoucí k fašismu.","Mladí lvi je román, co ukazuje absurdity druhý světový války skrz příběhy tří mladých chlapů, co se dostali do víru války a zkoumají, co je vedlo k fašismu."
Závity ulit,Martina Málková,"Život píše svoje vlastní osudy a zaznamenává je do minulosti každého z nás, tak jako závity ulit, nedají se smazat nebo změnit, ačkoli bychom dali cokoli za to, kdybychom se jich mohli jednou pro vždy zbavit. A nakonec je musíme přijmout a začít psát nové, mnohdy povedenější, příběhy. Stejně jako Marta, jejíž život se právě zhroutil a teď je postavena před úplně nové výzvy a problémy. Jak se s nimi popere? Dokáže překonat stín, který poznamenal její osobní i pracovní život? Poetické vnímání reality se prolíná s rockovým stylem a hranice se stírají. Někdy se nám realita zdá být povrchní a klamavá… nebo se k ní stavíme s příliš velkými předsudky, a když prohlédneme, býváme příjemně překvapeni? Co čeká na Martu – najde sílu začít znovu a čelit svým životním kopancům? Pretty Woman z Holešovic se každopádně nikdy nevzdává!","Kniha sleduje příběh Marty, která se po zhroucení svého života snaží čelit novým výzvám a překonat stíny minulosti, přičemž se vyrovnává s realitou a hledá sílu začít znovu.","Marta má v životě samý kopance, ale jak se jí všechno zhroutí, tak se musí postavit novým výzvám a začít psát nový příběh, i když to vypadá, že realita je občas klamavá."
